object 0 1 
a 1.344460 1.829687 
b 1.219575 1.813173 
c 1.272597 2.018855 
d 1.633357 1.740973 
e 1.263846 1.826003 
f 1.477912 2.081915 
g 1.266815 1.587180 
h 1.199803 1.546304 
i 1.177952 2.014941 
j 1.363957 1.790802 
k  1.305621 1.777960 
l  1.261225 1.457623 
m  1.146934 1.413182 
n  1.102896 1.477857 
o  1.105583 1.436970 
p  1.074921 1.674360 
q  1.030803 1.463072 
r  1.347237 1.789224 
s  1.394663 1.694425 
t  1.394531 1.592709 
u  1.344469 1.562962 
v  1.414642 1.974332 
w  1.383451 1.792406 
x  1.211221 1.502096 
y  1.205614 1.518863 
z  1.336491 1.653943 
aa 1.497381 1.455541 
ab 1.436270 1.418867 
ac 1.630676 1.527773 
ad 1.219502 1.357647
